word_freq_free,word_freq_win,word_freq_offer,email_length,num_hyperlinks,sender_domain,is_spam
0.15,0.23,0.04,838,1,fake25@company.com,0
0.09,0.14,0.08,47,4,friend66@gmail.com,1
0.27,0.24,0.21,42,5,newsletter34@company.com,0
0.28,0.18,0.14,921,1,friend79@spam.com,0
0.24,0.27,0.25,931,3,friend85@scammy.net,1
0.24,0.28,0.22,196,4,promo61@spam.com,0
0.15,0.29,0.05,589,1,alerts14@bank.com,0
0.16,0.28,0.07,284,0,random46@gmail.com,0
0.13,0.18,0.05,453,0,newsletter75@gmail.com,1
0.1,0.12,0.23,413,5,promo24@shopnow.com,0
0.1,0.02,0.12,746,2,fake25@scammy.net,1
0.21,0.21,0.0,650,4,promo2@scammy.net,0
0.28,0.11,0.17,467,0,boss29@bank.com,0
0.09,0.04,0.02,477,0,boss99@spam.com,1
0.27,0.1,0.18,345,5,newsletter80@company.com,0
0.14,0.23,0.08,796,0,promo79@shopnow.com,1
0.18,0.19,0.05,563,4,random68@scammy.net,0
0.2,0.26,0.06,942,4,alerts63@spam.com,0
0.03,0.14,0.13,941,5,boss66@company.com,1
0.08,0.29,0.12,496,0,random95@company.com,0
0.26,0.29,0.23,938,0,alerts38@gmail.com,1
0.26,0.15,0.28,988,0,boss71@shopnow.com,1
0.11,0.03,0.25,359,4,friend44@company.com,0
0.29,0.27,0.26,260,2,friend100@spam.com,1
0.14,0.29,0.03,512,0,alerts76@scammy.net,1
0.29,0.29,0.1,701,1,fake26@company.com,1
0.26,0.17,0.16,942,1,random24@yahoo.com,0
0.13,0.04,0.19,196,4,boss49@shopnow.com,0
0.26,0.24,0.2,837,0,boss35@yahoo.com,1
0.08,0.25,0.0,299,4,promo68@gmail.com,1
0.18,0.04,0.03,896,2,boss93@spam.com,1
0.05,0.13,0.25,126,3,fake41@shopnow.com,1
0.21,0.11,0.28,659,2,newsletter73@scammy.net,1
0.05,0.09,0.15,628,3,newsletter52@bank.com,0
0.09,0.05,0.08,445,3,boss97@bank.com,1
0.19,0.17,0.04,246,0,alerts65@gmail.com,0
0.06,0.05,0.12,944,2,friend66@shopnow.com,0
0.23,0.09,0.09,349,2,random29@shopnow.com,0
0.2,0.22,0.04,858,3,random20@company.com,0
0.22,0.14,0.1,198,5,newsletter69@gmail.com,1
0.04,0.12,0.2,318,0,promo69@bank.com,0
0.06,0.19,0.11,98,1,fake82@spam.com,0
0.18,0.14,0.03,484,2,boss46@shopnow.com,1
0.07,0.19,0.06,631,4,newsletter29@scammy.net,1
0.17,0.26,0.28,669,1,boss97@shopnow.com,0
0.03,0.21,0.14,757,3,random30@spam.com,0
0.27,0.23,0.14,414,1,boss68@company.com,1
0.12,0.08,0.12,795,3,newsletter58@scammy.net,0
0.05,0.08,0.27,269,1,fake86@bank.com,1
0.11,0.05,0.2,492,4,promo66@spam.com,0
0.1,0.03,0.19,416,4,alerts56@scammy.net,0
0.08,0.3,0.22,83,5,friend73@shopnow.com,0
0.01,0.25,0.05,20,0,random10@yahoo.com,1
0.04,0.14,0.16,422,1,newsletter69@gmail.com,0
0.15,0.15,0.26,880,1,boss17@bank.com,0
0.1,0.29,0.24,448,0,fake17@scammy.net,0
0.18,0.1,0.19,686,4,promo15@yahoo.com,0
0.23,0.13,0.05,411,4,newsletter81@scammy.net,0
0.16,0.08,0.27,38,0,newsletter2@bank.com,0
0.26,0.13,0.11,398,5,friend55@scammy.net,1
0.13,0.24,0.01,597,3,fake67@yahoo.com,1
0.2,0.14,0.11,145,2,promo4@gmail.com,1
0.25,0.29,0.29,128,4,promo60@yahoo.com,1
0.11,0.23,0.04,931,4,alerts74@scammy.net,0
0.05,0.19,0.09,117,5,fake13@gmail.com,0
0.05,0.2,0.1,363,2,boss1@yahoo.com,1
0.19,0.05,0.09,713,2,alerts52@spam.com,1
0.13,0.02,0.05,535,0,fake52@shopnow.com,0
0.2,0.07,0.22,859,0,friend85@shopnow.com,0
0.22,0.29,0.28,590,2,alerts28@gmail.com,0
0.13,0.13,0.19,801,3,alerts40@shopnow.com,0
0.1,0.06,0.04,111,2,random54@shopnow.com,0
0.17,0.15,0.26,41,0,random71@gmail.com,0
0.09,0.29,0.08,35,4,alerts33@company.com,0
0.2,0.22,0.03,764,1,boss15@gmail.com,0
0.22,0.05,0.28,320,0,friend77@gmail.com,0
0.24,0.01,0.09,113,0,fake50@spam.com,0
0.03,0.16,0.11,566,4,alerts1@spam.com,0
0.15,0.12,0.28,322,3,boss98@bank.com,0
0.07,0.05,0.0,458,5,random95@spam.com,0
0.02,0.03,0.15,864,3,fake1@bank.com,0
0.18,0.23,0.26,516,3,random10@scammy.net,0
0.14,0.06,0.04,979,5,friend64@scammy.net,0
0.26,0.19,0.1,957,5,fake71@company.com,0
0.16,0.12,0.29,506,2,boss79@bank.com,0
0.06,0.21,0.24,178,2,boss68@company.com,0
0.17,0.12,0.19,514,4,newsletter5@bank.com,1
0.22,0.18,0.22,768,4,alerts7@gmail.com,1
0.24,0.14,0.05,141,5,alerts52@spam.com,0
0.05,0.28,0.05,34,4,alerts43@bank.com,1
0.01,0.1,0.24,912,2,friend10@shopnow.com,0
0.1,0.17,0.08,586,2,friend4@gmail.com,0
0.17,0.09,0.26,915,5,alerts57@spam.com,1
0.29,0.0,0.27,749,5,alerts61@shopnow.com,1
0.15,0.07,0.2,934,2,friend67@bank.com,0
0.27,0.09,0.11,747,5,random20@company.com,0
0.04,0.12,0.07,898,1,friend11@shopnow.com,0
